../img/extracted/1792_Page_1_ex_0.jpg strainer
../img/extracted/1792_Page_2_ex_0.jpg "chime, bell, gong"
../img/extracted/1792_Page_3_ex_0.jpg nail
../img/extracted/1792_Page_4_ex_0.jpg bassoon
../img/extracted/1792_Page_5_ex_0.jpg "water bottle"
../img/extracted/1792_Page_6_ex_0.jpg "paper towel"
../img/extracted/1794_Page_01_ex_0.jpg "airship, dirigible"
../img/extracted/1794_Page_02_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1794_Page_03_ex_0.jpg "radio telescope, radio reflector"
../img/extracted/1794_Page_04_ex_0.jpg "revolver, six-gun, six-shooter"
../img/extracted/1794_Page_05_ex_0.jpg nail
../img/extracted/1794_Page_06_ex_0.jpg sundial
../img/extracted/1794_Page_07_ex_0.jpg "slide rule, slipstick"
../img/extracted/1794_Page_08_ex_0.jpg "table lamp"
../img/extracted/1794_Page_09_ex_0.jpg "hair slide"
../img/extracted/1794_Page_10_ex_0.jpg "face powder"
../img/extracted/1794_Page_11_ex_0.jpg cup
../img/extracted/1794_Page_12_ex_0.jpg ladle
../img/extracted/1794_Page_13_ex_0.jpg abacus
../img/extracted/1794_Page_14_ex_0.jpg wreck
../img/extracted/1794_Page_15_ex_0.jpg throne
../img/extracted/1794_Page_16_ex_0.jpg cup
../img/extracted/1794_Page_17_ex_0.jpg "cornet, horn, trumpet, trump"
../img/extracted/1794_Page_18_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1794_Page_19_ex_0.jpg "cornet, horn, trumpet, trump"
../img/extracted/1794_Page_20_ex_0.jpg "fountain pen"
../img/extracted/1794_Page_21_ex_0.jpg "book jacket, dust cover, dust jacket, dust wrapper"
../img/extracted/1798_Page_01_ex_0.jpg alp
../img/extracted/1798_Page_02_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1798_Page_03_ex_0.jpg "radio telescope, radio reflector"
../img/extracted/1798_Page_04_ex_0.jpg "maze, labyrinth"
../img/extracted/1798_Page_05_ex_0.jpg "maze, labyrinth"
../img/extracted/1798_Page_06_ex_0.jpg "table lamp"
../img/extracted/1798_Page_07_ex_0.jpg "face powder"
../img/extracted/1798_Page_08_ex_0.jpg cup
../img/extracted/1798_Page_09_ex_0.jpg cup
../img/extracted/1798_Page_10_ex_0.jpg hourglass
../img/extracted/1798_Page_11_ex_0.jpg "oboe, hautboy, hautbois"
../img/extracted/1798_Page_12_ex_0.jpg harp
../img/extracted/1798_Page_13_ex_0.jpg cup
../img/extracted/1798_Page_14_ex_0.jpg "sewing machine"
../img/extracted/1798_Page_15_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1798_Page_16_ex_0.jpg "cornet, horn, trumpet, trump"
../img/extracted/1798_Page_17_ex_0.jpg "hook, claw"
../img/extracted/1798_Page_18_ex_0.jpg "book jacket, dust cover, dust jacket, dust wrapper"
../img/extracted/1803_Page_01_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1803_Page_02_ex_0.jpg "book jacket, dust cover, dust jacket, dust wrapper"
../img/extracted/1803_Page_03_ex_0.jpg tray
../img/extracted/1803_Page_04_ex_0.jpg "scale, weighing machine"
../img/extracted/1803_Page_05_ex_0.jpg "oscilloscope, scope, cathode-ray oscilloscope, CRO"
../img/extracted/1803_Page_06_ex_0.jpg sundial
../img/extracted/1803_Page_07_ex_0.jpg "fire screen, fireguard"
../img/extracted/1803_Page_08_ex_0.jpg "hair slide"
../img/extracted/1803_Page_09_ex_0.jpg "maze, labyrinth"
../img/extracted/1803_Page_10_ex_0.jpg coffeepot
../img/extracted/1803_Page_11_ex_0.jpg "corkscrew, bottle screw"
../img/extracted/1803_Page_12_ex_0.jpg nail
../img/extracted/1803_Page_13_ex_0.jpg "paper towel"
../img/extracted/1803_Page_14_ex_0.jpg balloon
../img/extracted/1803_Page_15_ex_0.jpg "corkscrew, bottle screw"
../img/extracted/1803_Page_16_ex_0.jpg "binder, ring-binder"
../img/extracted/1803_Page_17_ex_0.jpg "cornet, horn, trumpet, trump"
../img/extracted/1803_Page_18_ex_0.jpg "killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
../img/extracted/1808_Page_01_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1808_Page_02_ex_0.jpg "window screen"
../img/extracted/1808_Page_03_ex_0.jpg "aircraft carrier, carrier, flattop, attack aircraft carrier"
../img/extracted/1808_Page_04_ex_0.jpg "unicycle, monocycle"
../img/extracted/1808_Page_05_ex_0.jpg "scale, weighing machine"
../img/extracted/1808_Page_06_ex_0.jpg menu
../img/extracted/1808_Page_07_ex_0.jpg sundial
../img/extracted/1808_Page_08_ex_0.jpg "hook, claw"
../img/extracted/1808_Page_09_ex_0.jpg "gong, tam-tam"
../img/extracted/1808_Page_10_ex_0.jpg "hook, claw"
../img/extracted/1808_Page_11_ex_0.jpg "maze, labyrinth"
../img/extracted/1808_Page_12_ex_0.jpg "pitcher, ewer"
../img/extracted/1808_Page_13_ex_0.jpg abacus
../img/extracted/1808_Page_14_ex_0.jpg wreck
../img/extracted/1808_Page_15_ex_0.jpg throne
../img/extracted/1808_Page_16_ex_0.jpg balloon
../img/extracted/1808_Page_17_ex_0.jpg bow
../img/extracted/1808_Page_18_ex_0.jpg "prayer rug, prayer mat"
../img/extracted/1808_Page_19_ex_0.jpg "cornet, horn, trumpet, trump"
../img/extracted/1808_Page_20_ex_0.jpg "hook, claw"
../img/extracted/1808_Page_21_ex_0.jpg "book jacket, dust cover, dust jacket, dust wrapper"
../img/extracted/1812_Page_01_ex_0.jpg wreck
